"","county","state","pop_county","area","num_county","pop_state","rep_vote","rep_vote_pct","dem_vote","dem_vote_pct","third_pct","X","STATE","COUNTY","TOT_POP","total_hispanic_2020","total_hispanic_2010"
"1924","Millard","Utah",12975,6828,29,3271616,5404,0.877,624,0.101,0.022,2784,49,27,12977,1664,1603
"1925","Mille Lacs","Minnesota",26459,574.46997,87,5706494,4404,0.3,9952,0.679,0.0209999999999999,1355,27,95,26467,706,377
"1926","Miller","Arkansas",42600,637.47998,75,3011524,11920,0.721,4245,0.257,0.022,158,5,91,42595,1572,1038
"1927","Miller","Georgia",6000,283,159,10711908,748,0.264,2066,0.729,0.007,480,13,201,5997,162,93
"1928","Miller","Missouri",24722,592,115,6154913,10176,0.822,2038,0.165,0.013,1542,29,131,24726,516,343
"1929","Mills","Iowa",14484,437,99,3190369,5585,0.678,2508,0.304,0.018,847,19,129,14486,516,359
"1930","Mills","Texas",4456,748,254,29145504,2217,0.885,271,0.108,0.007,2683,48,333,4454,852,818
"1931","Milwaukee","Wisconsin",939489,241.39999,72,5893718,317527,0.694,134482,0.294,0.0120000000000001,3081,55,79,939495,150210,126039
"1932","Miner","South Dakota",2298,570,66,886667,787,0.692,320,0.281,NA,2403,46,97,2307,72,31
"1933","Mineral","Colorado",865,878.15997,64,5773714,317,0.419,427,0.565,0.016,286,8,79,865,50,21
"1934","Mineral","Montana",4535,1220,56,1084225,1828,0.713,686,0.268,0.019,1622,30,61,4529,143,80
"1935","Mineral","Nevada",4554,3757,17,3104614,829,0.355,1423,0.609,0.036,1752,32,21,4555,631,436
"1936","Mineral","West Virginia",26938,328,55,1793716,10040,0.78,2660,0.207,0.013,3014,54,57,26938,277,202
"1937","Mingo","West Virginia",23568,423,55,1793716,8544,0.853,1397,0.139,0.008,3015,54,59,23574,191,119
"1938","Minidoka","Idaho",21613,760,44,1839106,6265,0.784,1550,0.194,0.022,578,16,67,21582,7726,6493
"1939","Minnehaha","South Dakota",197214,809,66,886667,49249,0.533,40482,0.438,NA,2404,46,99,197209,10702,6982
"1940","Missaukee","Michigan",15052,574,83,10077331,1967,0.225,6648,0.759,0.016,1281,26,113,15048,491,306
"1941","Mississippi","Arkansas",40685,919.72998,75,3011524,7296,0.591,4558,0.369,0.04,159,5,93,40692,1906,1695
"1942","Mississippi","Missouri",12577,413,115,6154913,3537,0.744,1178,0.248,0.008,1543,29,133,12575,318,231
"1943","Missoula","Montana",117922,2598,56,1084225,26347,0.369,43357,0.606,0.025,1623,30,63,117924,4287,2861
"1944","Mitchell","Georgia",21755,512,159,10711908,3993,0.446,4935,0.551,0.003,481,13,205,21762,1058,1028
"1945","Mitchell","Iowa",10565,469,99,3190369,3677,0.632,2053,0.353,0.015,848,19,131,10563,177,110
"1946","Mitchell","Kansas",5796,700,105,2937880,2504,0.807,558,0.18,0.013,943,20,123,5792,177,73
"1947","Mitchell","North Carolina",14903,222,100,10439388,7090,0.785,1867,0.207,0.008,1944,37,121,14906,878,631
"1948","Mitchell","Texas",8990,910,254,29145504,2170,0.841,397,0.154,0.005,2684,48,335,8991,3686,3481
"1949","Mobile","Alabama",414809,1229.4399,67,5024279,101243,0.554,79474,0.435,0.011,49,1,97,414812,12442,9936
"1950","Modoc","California",8700,3944,58,39538224,1150,0.265,3109,0.717,0.018,212,6,49,8700,1322,1342
"1951","Moffat","Colorado",13292,4755.8599,64,5773714,1203,0.171,5670,0.807,0.0219999999999999,287,8,81,13291,2208,1985
"1952","Mohave","Arizona",213267,13470,15,7151502,24831,0.237,78535,0.75,0.013,106,4,15,213269,36633,29569
"1953","Moniteau","Missouri",15473,417,115,6154913,5744,0.803,1308,0.183,0.014,1544,29,135,15477,851,586
"1954","Monmouth","New Jersey",643615,472,21,9288994,181291,0.479,191808,0.507,0.014,1780,34,25,643608,72070,60939
"1955","Mono","California",13195,3044,58,39538224,4013,0.596,2513,0.373,0.031,213,6,51,13198,3589,3762
"1956","Monona","Iowa",8751,693,99,3190369,3248,0.689,1407,0.298,0.0130000000000001,849,19,133,8757,205,107
"1957","Monongalia","West Virginia",105822,361,55,1793716,20803,0.494,20282,0.482,0.024,3016,54,61,105822,2367,1692
"1958","Monroe","Alabama",19772,1025.67,67,5024279,6147,0.577,4455,0.418,0.0050000000000001,50,1,99,19770,336,220
"1959","Monroe","Arkansas",6799,621.40997,75,3011524,1545,0.549,1147,0.407,0.044,160,5,95,6799,186,132
"1960","Monroe","Florida",82874,997,67,21538088,25693,0.535,21881,0.456,0.009,357,12,87,82879,21320,15071
"1961","Monroe","Georgia",27957,396,159,10711908,4385,0.281,11057,0.709,0.01,482,13,207,27955,692,535
"1962","Monroe","Illinois",34962,385,102,12812508,6569,0.311,14142,0.669,0.02,655,17,133,34953,584,450
"1963","Monroe","Indiana",139718,395,92,6785528,22071,0.35,39861,0.632,0.018,743,18,105,139717,5173,4029
"1964","Monroe","Iowa",7577,433,99,3190369,2975,0.728,1078,0.264,0.008,850,19,135,7574,179,169
"1965","Monroe","Kentucky",11338,331,120,4505836,4628,0.868,657,0.123,0.009,1072,21,171,11336,353,289
"1966","Monroe","Michigan",154809,680,83,10077331,32975,0.378,52710,0.605,0.017,1282,26,115,154812,6024,4667
"1967","Monroe","Mississippi",34180,764,82,2961279,11177,0.648,5874,0.34,0.012,1442,28,95,34179,507,355
"1968","Monroe","Missouri",8666,646,115,6154913,3477,0.776,936,0.209,0.015,1545,29,137,8662,153,85
"1969","Monroe","New York",759443,1366,62,20201248,225746,0.595,145661,0.384,0.021,1849,36,55,759444,72295,54005
"1970","Monroe","Ohio",13385,455.54001,88,11799448,5463,0.764,1605,0.225,0.011,2092,39,111,13383,98,59
"1971","Monroe","Pennsylvania",168327,617,67,13002700,44060,0.526,38726,0.462,0.012,2282,42,89,168323,29730,22288
"1972","Monroe","Tennessee",46250,635,95,6910840,16783,0.807,3764,0.181,0.012,2483,47,123,46249,2117,1448
"1973","Monroe","West Virginia",12376,473,55,1793716,5068,0.781,1345,0.207,0.012,3017,54,63,12375,251,83
"1974","Monroe","Wisconsin",46274,900.78003,72,5893718,8433,0.374,13775,0.61,0.016,3082,55,81,46270,2349,1661
"1975","Montague","Texas",19965,931,254,29145504,8615,0.878,1097,0.112,0.01,2685,48,337,19965,2309,1930
