county,state,pop_county,area,num_county,pop_state,rep_vote,rep_vote_pct,dem_vote,dem_vote_pct,third_pct
Fremont,Colorado,48939,1533.09,64,5773714,7369,.288,17517,.6850000000000001,.0269999999999999
Garfield,Colorado,61685,2958.23,64,5773714,15427,.499,14717,.476,.025
Gilpin,Colorado,5808,150.14999,64,5773714,2223,.531,1833,.438,.031
Grand,Colorado,15717,1868.53,64,5773714,4710,.477,4883,.495,.028
Gunnison,Colorado,16918,3259.22,64,5773714,7132,.637,3735,.334,.029
Hinsdale,Colorado,788,1123.35,64,5773714,255,.403,353,.5590000000000001,.0379999999999999
Huerfano,Colorado,6820,1592.37,64,5773714,2076,.471,2203,.5,.029
Jackson,Colorado,1379,1619.75,64,5773714,175,.2,681,.777,.023
Jefferson,Colorado,582910,772.84998,64,5773714,218396,.579,148417,.393,.028
Kiowa,Colorado,1446,1785.9,64,5773714,98,.109,795,.88,.011
Kit Carson,Colorado,7087,2162.4299,64,5773714,662,.171,3144,.8120000000000001,.0169999999999999
La Plata,Colorado,55638,1700.4399,64,5773714,20548,.576,14233,.399,.025
Lake,Colorado,7436,383.54999,64,5773714,2303,.581,1497,.378,.041
Larimer,Colorado,359066,2631.75,64,5773714,126120,.5620000000000001,91489,.408,.03
Las Animas,Colorado,14555,4773.27,64,5773714,3497,.439,4284,.538,.0229999999999999
Lincoln,Colorado,5675,2585.21,64,5773714,470,.177,2135,.805,.0179999999999999
Logan,Colorado,21528,1845.3101,64,5773714,2218,.211,8087,.768,.021
Mesa,Colorado,155703,3345.6899,64,5773714,31536,.348,56894,.628,.024
Mineral,Colorado,865,878.15997,64,5773714,317,.419,427,.5649999999999999,.016
Moffat,Colorado,13292,4755.8599,64,5773714,1203,.171,5670,.8070000000000001,.0219999999999999
Montezuma,Colorado,25849,2035.8,64,5773714,5836,.377,9306,.6,.023
Montrose,Colorado,42679,2246.4299,64,5773714,7687,.308,16770,.673,.0189999999999999
Morgan,Colorado,29111,1293.83,64,5773714,3876,.282,9593,.698,.02
Otero,Colorado,18690,1267.66,64,5773714,3605,.376,5756,.601,.023
Ouray,Colorado,4874,542.29999,64,5773714,2365,.588,1577,.392,.02
Park,Colorado,17390,2209.3601,64,5773714,4903,.399,6991,.569,.032
Phillips,Colorado,4530,668.29999,64,5773714,486,.196,1958,.788,.016
Pitkin,Colorado,17358,970.37,64,5773714,8989,.752,2780,.232,.016
Prowers,Colorado,11999,1645.37,64,5773714,1458,.262,4008,.721,.017
Pueblo,Colorado,168162,2396.77,64,5773714,43772,.496,42252,.479,.025
Rio Blanco,Colorado,6529,3226.24,64,5773714,561,.152,3061,.829,.019
Rio Grande,Colorado,11539,913.09998,64,5773714,2495,.396,3660,.58,.024
Routt,Colorado,24829,2362.1101,64,5773714,10582,.627,5925,.351,.022
Saguache,Colorado,6368,3168.3201,64,5773714,1884,.556,1413,.417,.027
San Juan,Colorado,705,388.98999,64,5773714,342,.609,202,.359,.032
San Miguel,Colorado,8072,1290.76,64,5773714,3924,.762,1136,.221,.017
Sedgwick,Colorado,2404,548.83002,64,5773714,301,.208,1121,.775,.017
Summit,Colorado,31055,618.91998,64,5773714,12631,.6840000000000001,5322,.288,.028
Teller,Colorado,24710,558.58002,64,5773714,5278,.312,11241,.664,.0239999999999999
Washington,Colorado,4817,2522.8999,64,5773714,369,.123,2595,.863,.014
Weld,Colorado,328981,4013.8401,64,5773714,66060,.396,96145,.576,.028
Yuma,Colorado,9988,2369.6101,64,5773714,785,.158,4107,.825,.017
Kent,Delaware,181851,800,3,989948,44552,.512,41009,.471,.017
New Castle,Delaware,570719,494,3,989948,195034,.678,88364,.307,.015
Sussex,Delaware,237378,1196,3,989948,56682,.438,71230,.551,.011
District of Columbia,District of Columbia,689545,68.339996,1,689545,18586,.054,317323,.93,.0159999999999999
Alachua,Florida,278468,874,67,21538088,50972,.357,89704,.629,.014
