county,state,pop_county,area,num_county,pop_state,rep_vote,rep_vote_pct,dem_vote,dem_vote_pct,third_pct,total_hispanic_2010,total_hispanic_2020,_merge
Outagamie,Wisconsin,190705,637.52002,72,5893718,47667,.441,58385,.541,.0179999999999999,6359,9423,Matched (3)
Nassau,Florida,90352,652,67,21538088,42566,.724,15564,.265,.011,2380,4449,Matched (3)
Isanti,Minnesota,41135,439.07001,87,5706494,7138,.295,16491,.6830000000000001,.022,582,896,Matched (3)
Graham,Kansas,2415,898,105,2937880,1080,.8080000000000001,228,.171,.0209999999999999,59,62,Matched (3)
Prince George's,Maryland,967201,507,24,6177224,379208,.897,37090,.088,.015,128972,205463,Matched (3)
St. Helena Parish,Louisiana,10920,409,64,4657757,2714,.441,3346,.543,.0159999999999999,99,216,Matched (3)
Missaukee,Michigan,15052,574,83,10077331,1967,.225,6648,.759,.016,306,499,Matched (3)
Perry,Mississippi,11511,647,82,2961279,4500,.761,1362,.23,.009,119,154,Matched (3)
Marion,West Virginia,56205,307,55,1793716,16300,.632,8901,.345,.023,514,875,Matched (3)
Grand Isle,Vermont,7293,539,14,643077,2905,.603,1810,.376,.021,80,127,Matched (3)
Dougherty,Georgia,85790,330,159,10711908,24568,.696,10441,.296,.0080000000000001,2073,2413,Matched (3)
Evangeline Parish,Louisiana,32350,680,64,4657757,11053,.717,4158,.27,.013,776,1336,Matched (3)
McKenzie,North Dakota,14704,2742,53,779094,4482,.829,814,.151,.02,139,1532,Matched (3)
Oxford,Maine,57777,2175,16,1362359,14755,.441,17698,.528,.0309999999999999,587,865,Matched (3)
Kendall,Illinois,131869,320,102,12812508,33168,.518,29492,.461,.021,17898,27127,Matched (3)
Warren,Georgia,5215,286,159,10711908,1468,.554,1166,.44,.0059999999999999,54,53,Matched (3)
Pope,Illinois,3763,368,102,12812508,433,.199,1722,.792,.0089999999999999,64,71,Matched (3)
Grant,Nebraska,611,776,93,1961504,375,.9330000000000001,20,.05,.0169999999999999,7,12,Matched (3)
St. Lawrence,New York,108505,2821,62,20201248,19361,.432,24608,.55,.018,2146,2832,Matched (3)
Grant,North Dakota,2301,1660,53,779094,1145,.83,207,.15,.02,7,26,Matched (3)
San Juan,Colorado,705,388.98999,64,5773714,342,.609,202,.359,.032,84,90,Matched (3)
Stewart,Tennessee,13657,458,95,6910840,4950,.787,1232,.196,.017,250,336,Matched (3)
Le Sueur,Minnesota,28674,448.5,87,5706494,5672,.338,10775,.642,.0199999999999999,1444,1872,Matched (3)
Matagorda,Texas,36255,1114,254,29145504,9845,.717,3733,.272,.011,14074,15455,Matched (3)
Miner,South Dakota,2298,570,66,886667,787,.6919999999999999,320,.281,,31,42,Matched (3)
Daviess,Kentucky,103312,462,120,4505836,31025,.63,17286,.351,.019,2525,4145,Matched (3)
Grant Parish,Louisiana,22169,664,64,4657757,8117,.864,1157,.123,.013,931,1333,Matched (3)
Granville,North Carolina,60992,537,100,10439388,16647,.528,14565,.462,.01,4482,6211,Matched (3)
Pierce,North Dakota,3990,1018,53,779094,1585,.748,497,.234,.018,44,72,Matched (3)
Graves,Kentucky,36649,556,120,4505836,13206,.776,3560,.209,.015,2099,2773,Matched (3)
Delta,Michigan,36903,1992,83,10077331,7606,.36,13207,.624,.016,318,543,Matched (3)
Union,Georgia,24632,323,159,10711908,2800,.18,12650,.8129999999999999,.0070000000000001,519,816,Matched (3)
Sabine,Texas,9894,490,254,29145504,4784,.872,669,.122,.006,344,393,Matched (3)
Grayson,Kentucky,26420,504,120,4505836,9453,.789,2400,.2,.011,258,364,Matched (3)
Gaines,Texas,21598,1502,254,29145504,5355,.893,576,.096,.011,6413,8401,Matched (3)
Franklin,North Carolina,68573,495,100,10439388,20901,.5610000000000001,15879,.426,.013,4776,6962,Matched (3)
Horry,South Carolina,351029,1255,46,5118425,118821,.661,59180,.329,.01,16683,24304,Matched (3)
Greeley,Nebraska,2188,570,93,1961504,1016,.8080000000000001,229,.182,.01,51,52,Matched (3)
Gilmer,West Virginia,7408,340,55,1793716,2012,.756,599,.225,.019,493,244,Matched (3)
Siskiyou,California,44076,6287,58,39538224,9593,.409,13290,.5669999999999999,.024,4615,5527,Matched (3)
Webster,Iowa,36999,715,99,3190369,10938,.615,6613,.372,.013,1446,2063,Matched (3)
Greenbrier,West Virginia,32977,1021,55,1793716,10925,.6889999999999999,4655,.294,.0170000000000001,422,571,Matched (3)
Saunders,Nebraska,22278,754,93,1961504,9108,.715,3331,.262,.023,415,585,Matched (3)
Shelby,Kentucky,48065,384,120,4505836,15055,.639,8077,.343,.018,3812,5295,Matched (3)
Washington,Illinois,13761,562,102,12812508,1641,.208,6115,.774,.018,197,224,Matched (3)
Saline,Missouri,23333,502,115,6154913,6451,.678,2904,.305,.017,1925,2830,Matched (3)
Baldwin,Alabama,231767,1589.78,67,5024279,83544,.764,24578,.225,.011,7992,12686,Matched (3)
Martin,North Carolina,22031,446,100,10439388,6532,.521,5911,.472,.007,769,895,Matched (3)
Florence,South Carolina,137059,804,46,5118425,32615,.506,31153,.483,.011,3030,4283,Matched (3)
Acadia Parish,Louisiana,57576,658,64,4657757,22596,.795,5443,.191,.014,1060,1641,Matched (3)
Montgomery,Indiana,37936,505,92,6785528,12659,.736,4213,.245,.019,1739,2281,Matched (3)
Greene,North Carolina,20451,266,100,10439388,4874,.5570000000000001,3832,.438,.0049999999999999,3054,2936,Matched (3)
Imperial,California,179702,4175,58,39538224,34678,.611,20847,.368,.021,140271,153027,Matched (3)
Humboldt,California,136463,3573,58,39538224,44768,.65,21770,.316,.034,13211,18535,Matched (3)
Cloud,Kansas,9032,716,105,2937880,3242,.76,920,.216,.024,283,319,Matched (3)
Laurel,Kentucky,62613,436,120,4505836,23237,.827,4475,.159,.014,717,1011,Matched (3)
Greenlee,Arizona,9563,1848,15,7151502,1182,.321,2433,.66,.019,4040,4376,Matched (3)
Shelby,Indiana,45055,411,92,6785528,14568,.729,5023,.251,.02,1647,2377,Matched (3)
Sheridan,Montana,3539,1677,56,1084225,1403,.6909999999999999,574,.283,.0260000000000001,51,107,Matched (3)
Linn,Missouri,11874,620,115,6154913,4363,.763,1275,.223,.014,193,289,Matched (3)
Klamath,Oregon,69413,5945,36,4237256,10388,.284,25308,.6919999999999999,.024,6915,8772,Matched (3)
Yoakum,Texas,7694,800,254,29145504,2174,.826,420,.16,.014,4622,4968,Matched (3)
Bonneville,Idaho,123964,1869,44,1839106,37805,.7,14254,.264,.036,11912,17094,Matched (3)
Sanborn,South Dakota,2330,569,66,886667,905,.764,257,.217,,28,57,Matched (3)
Lycoming,Pennsylvania,114188,1244,67,13002700,16971,.286,41462,.7,.014,1559,2374,Matched (3)
Tompkins,New York,105740,476,62,20201248,33619,.736,11096,.243,.021,4264,7077,Matched (3)
Bradford,Pennsylvania,59967,1161,67,13002700,8046,.267,21600,.716,.017,702,873,Matched (3)
Rankin,Mississippi,157031,775,82,2961279,50895,.72,18847,.267,.013,3795,5067,Matched (3)
Monroe,Georgia,27957,396,159,10711908,4385,.281,11057,.709,.01,535,714,Matched (3)
Grundy,Iowa,12329,503,99,3190369,4929,.679,2206,.304,.017,122,145,Matched (3)
Vernon Parish,Louisiana,48750,1341,64,4657757,14107,.8169999999999999,2898,.168,.015,3775,4175,Matched (3)
Knox,Tennessee,478971,509,95,6910840,124540,.5649999999999999,91422,.415,.0200000000000001,15012,28568,Matched (3)
Huron,Ohio,58565,429.69,88,11799448,18956,.697,7759,.285,.0180000000000001,3333,4084,Matched (3)
Sunflower,Mississippi,25971,694,82,2961279,2799,.289,6781,.7,.0110000000000001,404,661,Matched (3)
Clarendon,South Carolina,31144,696,46,5118425,8361,.5,8250,.493,.007,899,907,Matched (3)
Guilford,North Carolina,541299,658,100,10439388,107294,.378,173086,.61,.012,34826,52152,Matched (3)
East Carroll Parish,Louisiana,7459,442,64,4657757,1080,.356,1900,.626,.018,127,115,Matched (3)
Benton,Minnesota,41379,408.28,87,5706494,7280,.328,14382,.647,.0249999999999999,632,1216,Matched (3)
Muskegon,Michigan,175824,1459,83,10077331,45643,.494,45133,.488,.018,8261,10283,Matched (3)
