county,state,pop_county,area,num_county,pop_state
Searcy,Arkansas,7828,668.51001,75,3011524
Sebastian,Arkansas,127799,546.03998,75,3011524
Sevier,Arkansas,15839,581.34998,75,3011524
Sharp,Arkansas,17271,606.34998,75,3011524
Stone,Arkansas,12359,609.42999,75,3011524
Union,Arkansas,39054,1055.27,75,3011524
Van Buren,Arkansas,15796,724.32001,75,3011524
Washington,Arkansas,245871,951.71997,75,3011524
White,Arkansas,76822,1042.36,75,3011524
Woodruff,Arkansas,6269,594.04999,75,3011524
Yell,Arkansas,20263,948.84003,75,3011524
Alameda,California,1682353,738,58,39538224
Alpine,California,1204,739,58,39538224
Amador,California,40474,606,58,39538224
Butte,California,211632,1640,58,39538224
Calaveras,California,45292,1020,58,39538224
Colusa,California,21839,1151,58,39538224
Contra Costa,California,1165927,720,58,39538224
Del Norte,California,27743,1008,58,39538224
El Dorado,California,191185,1712,58,39538224
Fresno,California,1008654,5963,58,39538224
Glenn,California,28917,1315,58,39538224
Humboldt,California,136463,3573,58,39538224
Imperial,California,179702,4175,58,39538224
Inyo,California,19016,10192,58,39538224
Kern,California,909235,8142,58,39538224
Kings,California,152486,1390,58,39538224
Lake,California,68163,1258,58,39538224
Lassen,California,32730,4558,58,39538224
Los Angeles,California,10014009,4060,58,39538224
Madera,California,156255,2138,58,39538224
Marin,California,262321,520,58,39538224
Mariposa,California,17131,1451,58,39538224
Mendocino,California,91601,3509,58,39538224
Merced,California,281202,1929,58,39538224
Modoc,California,8700,3944,58,39538224
Mono,California,13195,3044,58,39538224
Monterey,California,439035,3322,58,39538224
Napa,California,138019,754,58,39538224
Nevada,California,102241,958,58,39538224
Orange,California,3186989,948,58,39538224
Placer,California,404739,1407,58,39538224
Plumas,California,19790,2554,58,39538224
Riverside,California,2418185,7208,58,39538224
Sacramento,California,1585055,966,58,39538224
San Benito,California,64209,1389,58,39538224
San Bernardino,California,2181654,20062,58,39538224
San Diego,California,3298634,4204,58,39538224
"San Francisco, City and County of",California,873965,47,58,39538224
San Joaquin,California,779233,1399,58,39538224
San Luis Obispo,California,282424,3304,58,39538224
San Mateo,California,764442,449,58,39538224
Santa Barbara,California,448229,2738,58,39538224
Santa Clara,California,1936259,1291,58,39538224
Santa Cruz,California,270861,446,58,39538224
Shasta,California,182155,3786,58,39538224
Sierra,California,3236,953,58,39538224
Siskiyou,California,44076,6287,58,39538224
Solano,California,453491,828,58,39538224
Sonoma,California,488863,1576,58,39538224
Stanislaus,California,552878,1495,58,39538224
Sutter,California,99633,603,58,39538224
Tehama,California,65829,2951,58,39538224
Trinity,California,16112,3179,58,39538224
Tulare,California,473117,4824,58,39538224
Tuolumne,California,55620,2236,58,39538224
Ventura,California,843843,1846,58,39538224
Yolo,California,216403,1012,58,39538224
Yuba,California,81575,630,58,39538224
Adams,Colorado,519572,1182.29,64,5773714
Alamosa,Colorado,16376,723.21002,64,5773714
Arapahoe,Colorado,655070,804.40997,64,5773714
Archuleta,Colorado,13359,1354.53,64,5773714
Baca,Colorado,3506,2558.48,64,5773714
Bent,Colorado,5650,1541.0699,64,5773714
Boulder,Colorado,330758,740.47998,64,5773714
"Broomfield, City and County of",Colorado,74112,33.57,64,5773714
Chaffee,Colorado,19476,1014.12,64,5773714
Cheyenne,Colorado,1748,1781.9,64,5773714
Clear Creek,Colorado,9397,396.53,64,5773714
Conejos,Colorado,7461,1290.22,64,5773714
Costilla,Colorado,3499,1229.38,64,5773714
Crowley,Colorado,5922,800.27002,64,5773714
Custer,Colorado,4704,739.23999,64,5773714
Delta,Colorado,31196,1149.4399,64,5773714
"Denver, City and County of",Colorado,715522,155.66,64,5773714
Dolores,Colorado,2326,1076.9301,64,5773714
