county,state,pop_county,num_county,pop_state,rep_vote,rep_vote_pct,dem_vote,dem_vote_pct,third_pct,total_hispanic_2010,total_hispanic_2020
Teton,Montana,6226,56,1084225,2608,.709,1007,.274,.017,76,85
Deer Lodge,Montana,9421,56,1084225,2186,.447,2562,.524,.0289999999999999,271,260
Wheatland,Montana,2069,56,1084225,823,.771,225,.211,.018,32,68
Valley,Montana,7578,56,1084225,3135,.736,1030,.242,.022,91,174
Broadwater,Montana,6774,56,1084225,3173,.774,835,.204,.022,126,200
Cascade,Montana,84414,56,1084225,23315,.585,15456,.388,.027,2711,4012
Golden Valley,Montana,823,56,1084225,414,.823,78,.155,.022,31,35
Dawson,Montana,8940,56,1084225,3758,.779,962,.199,.022,178,288
Park,Montana,17191,56,1084225,6025,.521,5280,.457,.022,325,510
Prairie,Montana,1088,56,1084225,603,.8100000000000001,126,.169,.0209999999999999,16,33
Phillips,Montana,4217,56,1084225,1936,.8129999999999999,416,.175,.0120000000000001,81,112
Custer,Montana,11867,56,1084225,4205,.718,1514,.258,.024,263,362
Chouteau,Montana,5895,56,1084225,1891,.638,991,.334,.028,94,159
Flathead,Montana,104357,56,1084225,38321,.639,20274,.338,.023,2070,3329
Wibaux,Montana,937,56,1084225,516,.863,77,.129,.008,13,27
Sweet Grass,Montana,3678,56,1084225,1840,.752,549,.224,.024,51,98
Beaverhead,Montana,9371,56,1084225,3923,.6929999999999999,1608,.284,.0230000000000001,338,431
Richland,Montana,11491,56,1084225,4800,.828,875,.151,.021,297,605
Big Horn,Montana,13124,56,1084225,2207,.461,2491,.521,.0179999999999999,510,515
Meagher,Montana,1927,56,1084225,833,.75,258,.232,.018,28,46
Pondera,Montana,5898,56,1084225,2031,.678,903,.302,.02,87,97
Powell,Montana,6946,56,1084225,2355,.741,752,.237,.022,117,161
Liberty,Montana,1959,56,1084225,821,.758,249,.23,.012,8,13
Roosevelt,Montana,10794,56,1084225,1996,.497,1910,.475,.028,132,239
Petroleum,Montana,496,56,1084225,298,.856,39,.112,.032,5,5
Powder River,Montana,1694,56,1084225,970,.854,154,.136,.01,24,35
Fergus,Montana,11446,56,1084225,4869,.748,1496,.23,.022,171,225
Toole,Montana,4971,56,1084225,1596,.753,467,.22,.027,129,178
Lake,Montana,31134,56,1084225,9322,.5610000000000001,6916,.416,.023,998,1168
Gallatin,Montana,118960,56,1084225,31696,.447,37044,.522,.0309999999999999,2470,5895
Jefferson,Montana,12085,56,1084225,5345,.656,2625,.322,.022,224,291
Blaine,Montana,7044,56,1084225,1469,.471,1589,.51,.019,115,158
Granite,Montana,3309,56,1084225,1419,.675,638,.304,.021,44,85
Lincoln,Montana,19677,56,1084225,8672,.738,2835,.241,.021,462,561
Rosebud,Montana,8329,56,1084225,2486,.659,1199,.318,.023,313,234
Daniels,Montana,1661,56,1084225,799,.788,195,.192,.02,27,49
Garfield,Montana,1173,56,1084225,764,.9399999999999999,41,.05,.0100000000000001,3,14
Treasure,Montana,762,56,1084225,373,.8110000000000001,78,.17,.0189999999999999,25,31
Sanders,Montana,12400,56,1084225,5660,.743,1820,.239,.018,233,346
Sheridan,Montana,3539,56,1084225,1403,.6909999999999999,574,.283,.0260000000000001,51,107
Carter,Montana,1415,56,1084225,775,.897,74,.086,.017,8,11
Missoula,Montana,117922,56,1084225,26347,.369,43357,.606,.025,2861,6004
Ravalli,Montana,44174,56,1084225,19114,.671,8763,.307,.022,1195,1584
Judith Basin,Montana,2023,56,1084225,1040,.774,275,.205,.021,24,49
Musselshell,Montana,4730,56,1084225,2423,.841,413,.143,.016,118,146
Glacier,Montana,13778,56,1084225,1884,.335,3610,.643,.022,241,301
Hill,Montana,16309,56,1084225,3957,.551,2981,.415,.034,373,500
Providence,Rhode Island,660741,5,1097379,166288,.61,102636,.376,.014,117819,160323
Kent,Rhode Island,170363,5,1097379,49113,.531,42001,.454,.015,5309,9665
Newport,Rhode Island,85643,5,1097379,29486,.642,15722,.343,.015,3512,5592
Bristol,Rhode Island,50793,5,1097379,18050,.639,9745,.345,.016,989,1943
Washington,Rhode Island,129839,5,1097379,44549,.589,29818,.394,.017,3026,4578
Kennebec,Maine,123642,16,1362359,34902,.486,34721,.483,.031,1504,2552
Androscoggin,Maine,111139,16,1362359,27617,.47,29268,.499,.031,1669,2222
Piscataquis,Maine,16800,16,1362359,3517,.355,6143,.62,.025,169,261
Washington,Maine,31095,16,1362359,6761,.39,10194,.587,.023,452,667
Oxford,Maine,57777,16,1362359,14755,.441,17698,.528,.0309999999999999,587,865
Sagadahoc,Maine,36699,16,1362359,13528,.5629999999999999,9755,.406,.031,453,649
Cumberland,Maine,303069,16,1362359,133358,.669,60422,.303,.028,5045,8011
Franklin,Maine,29456,16,1362359,8069,.464,8754,.503,.033,315,407
Hancock,Maine,55478,16,1362359,19366,.548,14980,.424,.028,594,969
Aroostook,Maine,67105,16,1362359,13956,.39,21080,.59,.02,667,912
Lincoln,Maine,35237,16,1362359,12684,.538,10256,.435,.027,287,395
Waldo,Maine,39607,16,1362359,12345,.508,11196,.46,.032,349,559
Penobscot,Maine,152199,16,1362359,37716,.442,44827,.526,.032,1620,2715
York,Maine,211972,16,1362359,71189,.549,54817,.423,.028,2478,4097
Knox,Maine,40607,16,1362359,15110,.587,9982,.388,.025,337,672
Somerset,Maine,50477,16,1362359,10199,.37,16644,.604,.026,409,656
Hillsborough,New Hampshire,422937,10,1377529,122344,.53,104625,.453,.017,21241,33498
Merrimack,New Hampshire,153808,10,1377529,48533,.54,39711,.442,.018,2339,3880
Cheshire,New Hampshire,76458,10,1377529,25522,.577,17898,.405,.018,1090,1802
Grafton,New Hampshire,91118,10,1377529,33180,.615,19905,.369,.016,1600,2579
